id,phase_id/id,name,min_duration,step_number,is_active
sparkit.community_identification_state,sparkit.community_identification,Community Identification - Baseline,1,1,True
sparkit.introductions,sparkit.community_identification,Introductions,1,2,True
sparkit.partnership,sparkit.planning,Partnership,1,1,True
sparkit.community_building,sparkit.planning,Community Building,1,2,True
sparkit.goal_setting_goals,sparkit.planning,Goal Setting: Goals,1,3,True
sparkit.goal_setting_pathways,sparkit.planning,Goal Setting: Pathways,1,4,True
sparkit.implementation_plan,sparkit.planning,Proposal Development: Implementation Plan,1,5,True
sparkit.operational_plan,sparkit.planning,Proposal Development: Operational Plan,1,6,True
sparkit.measuring_success,sparkit.planning,Proposal Development: Measuring Success,1,7,True
sparkit.sustainability_plan,sparkit.planning,Proposal Development: Sustainability Plan,1,8,True
sparkit.proposal_review,sparkit.planning,Proposal Development: Proposal Finalization,1,9,True
sparkit.grant_agreement,sparkit.implementation,Implementation: Grant Agreement & Financial Management,1,1,True
sparkit.first_disbursement,sparkit.implementation,Implementation: Accountability & Transparency,1,2,True
sparkit.implementation_leadership,sparkit.implementation,Implementation: Leadership,1,3,True
sparkit.transition_strategy,sparkit.implementation,Implementation: Transition Strategy,1,4,True
sparkit.post_implementation1,sparkit.post_implementation,Post Implementation: Management Support,1,1,True
sparkit.post_implementation2,sparkit.post_implementation,Post Implementation: Future Envisioning,1,1,True
sparkit.post_implementation3,sparkit.post_implementation,Post Implementation: Graduation,1,1,True
